model,technique,task,metric,value
KNN,sb_anon_template3,pclass,accuracy,0.7
KNN,sb_anon_template3,pclass,precision,0.49
KNN,sb_anon_template3,pclass,recall,0.5
KNN,sb_anon_template3,pclass,f1-score,0.47
KNN,sb_anon_template4,avgpcon,MAE,26.6148
KNN,sb_anon_template4,avgpcon,R2 Score,0.2094
KNN,sb_anon_template4,duration,MAE,423.5762
KNN,sb_anon_template4,duration,R2 Score,-2.0133
KNN,sb_anon_template4,ec,accuracy,0.88
KNN,sb_anon_template4,ec,precision,0.81
KNN,sb_anon_template4,ec,recall,0.78
KNN,sb_anon_template4,ec,f1-score,0.79
KNN,sb_anon_template4,pclass,accuracy,0.79
KNN,sb_anon_template4,pclass,precision,0.73
KNN,sb_anon_template4,pclass,recall,0.75
KNN,sb_anon_template4,pclass,f1-score,0.74
KNN,sb_anon_template5,avgpcon,MAE,24.7169
KNN,sb_anon_template5,avgpcon,R2 Score,0.2522
KNN,sb_anon_template5,duration,MAE,372.3963
KNN,sb_anon_template5,duration,R2 Score,-1.9568
KNN,sb_anon_template5,ec,accuracy,0.87
KNN,sb_anon_template5,ec,precision,0.8
KNN,sb_anon_template5,ec,recall,0.77
KNN,sb_anon_template5,ec,f1-score,0.79
KNN,sb_anon_template5,pclass,accuracy,0.68
KNN,sb_anon_template5,pclass,precision,0.56
KNN,sb_anon_template5,pclass,recall,0.56
KNN,sb_anon_template5,pclass,f1-score,0.56
KNN,sb_anon_template6,avgpcon,MAE,46.2993
KNN,sb_anon_template6,avgpcon,R2 Score,-0.4694
KNN,sb_anon_template6,duration,MAE,286.2663
KNN,sb_anon_template6,duration,R2 Score,-0.439
KNN,sb_anon_template6,ec,accuracy,0.66
KNN,sb_anon_template6,ec,precision,0.49
KNN,sb_anon_template6,ec,recall,0.48
KNN,sb_anon_template6,ec,f1-score,0.48
KNN,sb_anon_template6,pclass,accuracy,0.7
KNN,sb_anon_template6,pclass,precision,0.5
KNN,sb_anon_template6,pclass,recall,0.5
KNN,sb_anon_template6,pclass,f1-score,0.48
KNN,sb,avgpcon,MAE,47.1806
KNN,sb,avgpcon,R2 Score,-0.6833
